Pure ID,Publisher
2226213443,
2226213387,
2226213370,
2226213307,
2226213243,
2226213171,
2226213120,Institute of Electrical and Electronics Engineers Inc.
2226213101,
2226213048,
2226212999,
2226212979,
2226212850,
2226212803,
2226212755,
2226212674,
2226212633,
2226212613,Institute of Electrical and Electronics Engineers Inc.
2226212596,
2226212534,
2226212498,
2226212459,
2226212348,
2226212317,
2226212286,wiley
2226212248,Institute of Electrical and Electronics Engineers Inc.
2226212192,
2226212146,
2226212073,
2226212014,
2226211918,
2226211891,
2226211873,
2226211855,
2226211801,
2226211754,
2226211730,
2226211432,
2226211389,
2226211368,wiley
2226211145,
2226211115,
2226211071,
2226211030,
2226210591,
2226210533,
2226210419,
2226210357,
2226210321,
2226210194,
2226210165,
2226210033,
2226209965,
2226209901,
2226209868,
2226209565,
2226209470,
2226209433,
2226209397,
2226209311,Institute of Electrical and Electronics Engineers Inc.
2226209232,
2226209179,
2226209148,
2226209086,
2226209060,Association for Computing Machinery
2226208988,
2226208914,
2226208891,
2226208835,
2226208794,
2226208759,
2226208743,
2226208651,
2226208631,
2226208585,
2226208572,Cambridge University Press
2226208416,
2226208395,
2226208321,
2226208289,
2226208248,
2226208217,
2226208163,
2226208103,
2226208071,
2226207945,
2226207790,
2226207760,
2226207745,
2226207634,
2226207594,
2226207556,
2226207514,
2226207482,
2226207467,Taylor and Francis
2226207411,
2226207291,
2226207194,
2226207114,
2226207013,
2226206985,
2226206965,
2226206910,
2226206858,
2226206836,
2226206717,
2226206686,
2226206590,
2226206556,
2226206535,
2226206491,
2226206395,
2226206361,
2226206287,
2226206236,
2226206185,
2226206162,
2226206116,
2226206071,
2226206053,
2226205808,
2226205783,
2226205733,
2226205706,
2226205661,
2226205642,
2226205520,Institute of Electrical and Electronics Engineers Inc.
2226205496,
2226205410,wiley
2226205366,
2226205295,Institute of Electrical and Electronics Engineers Inc.
2226205196,
2226205180,
2226205093,
2226205041,
2226204997,
2226204838,
2226204788,
2226204751,
2226204734,
2226204693,
2226204560,
2226204521,
2226204483,
2226204428,
2226204415,
2226204316,
2226204304,Taylor and Francis
2195534740,
2195534711,Cambridge University Press
2195534658,
2195534635,
2195534591,
2195534589,
2195534552,
2195534525,Institute of Electrical and Electronics Engineers Inc.
2195534507,
2195534490,
2195534444,
2195534423,
2195534402,
2195534387,Optica Publishing Group (formerly OSA)
2195534353,
2195534323,
2195534302,
2195534279,
2195534261,
2195534209,Institute of Electrical and Electronics Engineers Inc.
2195534195,
2195534158,
2195534126,
2195534097,
2195534074,
2195533983,
2195533959,
2195533929,
2195533913,
2195533869,
2195533841,
2195533801,
2195533774,
2195533746,
2195533713,
2195533700,Routledge Taylor & Francis Group
2195533666,
2195533637,
2195533622,
2195533600,
2195533562,
2195533546,
2195533525,
2195533504,
2195533413,
2195533387,
2195533358,
2195533341,Institute of Electrical and Electronics Engineers Inc.
2195533288,
2195533273,Optical Society of America (OSA)
2195533253,
2195533239,
2195533193,
2195533176,Institute of Electrical and Electronics Engineers Inc.
2195533150,
2195533140,Oxford University Press
2195533091,
2195533059,Taylor and Francis
2195533038,
2195533029,Bloomsbury Publishing Plc.
2195532996,
2195532924,
2195532897,
2195532883,Taylor and Francis
2195532719,
2195532683,
2195532618,
2195532587,
2195532559,
2195532542,
2195532502,
2195532477,
2195532445,
2195532420,
2195532371,
2195532344,
2195532322,
2195532305,
2195532230,
2195532192,
2195532169,
2195532130,
2195532095,
2195532079,Optica Publishing Group (formerly OSA)
2195532051,
2195532038,Bloomsbury Publishing Plc.
2195531947,
2195531913,
2195531888,
2195531865,
2195531770,
2195531745,
2195531721,
2195531669,
2195531643,
2195531612,
2195531607,Taylor and Francis
2195531541,
2195531519,
2195531493,
2195531482,Bloomsbury Publishing Plc.
2195531391,
2195531374,International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)
2195531357,University of California Press
2195531338,
2195531176,
2195531154,
2195531134,
2195531121,
2195531054,
2195531028,
2195530997,
2195530982,Springer Verlag
2195530925,
2195530898,
2195530868,
2195530848,
2195530824,
2195530809,Institute of Electrical and Electronics Engineers Inc.
2195530786,
2195530747,
2195530702,
2195530675,
2195530644,Institute of Electrical and Electronics Engineers Inc.
2195530624,
2195530580,
2195530536,
2195530509,
2195530473,
2195530377,
2195530364,AI Access Foundation
2195530331,
2195530304,
2195530287,
2195530268,
2195530231,
2195530206,
2195530165,
2195530131,
2195530106,
2195530096,Indiana University Press
2195530059,
2195530024,
2195530004,
2195529970,
2195529958,Institute of Electrical and Electronics Engineers Inc.
2195529893,Institute of Electrical and Electronics Engineers Inc.
2195529841,
