Pure ID,Year
2226213443,2025
2226213387,2025
2226213370,1998
2226213307,2025
2226213243,2025
2226213171,2025
2226213120,2023
2226213101,2025
2226213048,2025
2226212999,2024
2226212979,2025
2226212850,2025
2226212803,2025
2226212755,2020
2226212674,2025
2226212633,2025
2226212613,2024
2226212596,1999
2226212534,2025
2226212498,2025
2226212459,2025
2226212348,2006
2226212317,2025
2226212286,2013
2226212248,2024
2226212192,2025
2226212146,2025
2226212073,2025
2226212014,2025
2226211918,2025
2226211891,2016
2226211873,2025
2226211855,2009
2226211801,2025
2226211754,2025
2226211730,2025
2226211432,2025
2226211389,2025
2226211368,2015
2226211145,2025
2226211115,2025
2226211071,2025
2226211030,2025
2226210591,2025
2226210533,2025
2226210419,2025
2226210357,2025
2226210321,2025
2226210194,2025
2226210165,2025
2226210033,2025
2226209965,2025
2226209901,2025
2226209868,2011
2226209565,2025
2226209470,2025
2226209433,2025
2226209397,2025
2226209311,2024
2226209232,2025
2226209179,2025
2226209148,2025
2226209086,1998
2226209060,2015
2226208988,2025
2226208914,2025
2226208891,2025
2226208835,2025
2226208794,2025
2226208759,2025
2226208743,1997
2226208651,2001
2226208631,1999
2226208585,2025
2226208572,2009
2226208416,2025
2226208395,2025
2226208321,2025
2226208289,2025
2226208248,2025
2226208217,2025
2226208163,2025
2226208103,2025
2226208071,2025
2226207945,2025
2226207790,2025
2226207760,2024
2226207745,2000
2226207634,2025
2226207594,2025
2226207556,2025
2226207514,2025
2226207482,2025
2226207467,2017
2226207411,2025
2226207291,2025
2226207194,2025
2226207114,2025
2226207013,2025
2226206985,2025
2226206965,2025
2226206910,2000
2226206858,2025
2226206836,2025
2226206717,2025
2226206686,2025
2226206590,2025
2226206556,2025
2226206535,2024
2226206491,2025
2226206395,2025
2226206361,2025
2226206287,2025
2226206236,2025
2226206185,2025
2226206162,2025
2226206116,2025
2226206071,2025
2226206053,2013
2226205808,2025
2226205783,2025
2226205733,2025
2226205706,2025
2226205661,2025
2226205642,2017
2226205520,2024
2226205496,2025
2226205410,2019
2226205366,2025
2226205295,2024
2226205196,2025
2226205180,2023
2226205093,1995
2226205041,2025
2226204997,2025
2226204838,2025
2226204788,2018
2226204751,2025
2226204734,2025
2226204693,2025
2226204560,2025
2226204521,2025
2226204483,2025
2226204428,2025
2226204415,2025
2226204316,2025
2226204304,2024
2195534740,2006
2195534711,2010
2195534658,2015
2195534635,2009
2195534591,2024
2195534589,2016
2195534552,2014
2195534525,2015
2195534507,2008
2195534490,2001
2195534444,1996
2195534423,2023
2195534402,2004
2195534387,2016
2195534353,2012
2195534323,2002
2195534302,1993
2195534279,2000
2195534261,2002
2195534209,2014
2195534195,2007
2195534158,2012
2195534126,2017
2195534097,2025
2195534074,2017
2195533983,2015
2195533959,2018
2195533929,2022
2195533913,2006
2195533869,2022
2195533841,2019
2195533801,2016
2195533774,2023
2195533746,2016
2195533713,2012
2195533700,2010
2195533666,2024
2195533637,1980
2195533622,2013
2195533600,1987
2195533562,2015
2195533546,1987
2195533525,1995
2195533504,2005
2195533413,2022
2195533387,2006
2195533358,2023
2195533341,2017
2195533288,2023
2195533273,2010
2195533253,1987
2195533239,2007
2195533193,2021
2195533176,2017
2195533150,1986
2195533140,2011
2195533091,2020
2195533059,2012
2195533038,2023
2195533029,2011
2195532996,2002
2195532924,2017
2195532897,2002
2195532883,2017
2195532719,2007
2195532683,2011
2195532618,2017
2195532587,1983
2195532559,2020
2195532542,1989
2195532502,2017
2195532477,2020
2195532445,2002
2195532420,2012
